RCL - Rows Computed Locally 
OCS - Owner Cells Strategy 

   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL        192   50331648        512 8.879548e-01 7.238810e+00 1.380884e+00 6.607305e+00 3.846514e-01
        RCL        432  113246208        512 8.828757e-01 7.395882e+00 1.389043e+00 6.899384e+00 3.740352e-01
        RCL        768  201326592        512 9.974752e-01 7.790794e+00 1.853693e+00 7.538676e+00 3.551885e-01
        RCL       1200  314572800        512 1.018528e+00 7.940152e+00 1.915949e+00 7.704818e+00 3.358195e-01
        RCL       1728  452984832        512 1.020995e+00 7.913929e+00 1.949785e+00 7.960493e+00 3.270001e-01
        RCL       2352  616562688        512 1.062493e+00 8.090947e+00 1.960027e+00 8.362883e+00 3.227025e-01
        RCL       3072  805306368        512 1.056254e+00 8.061601e+00 1.959766e+00 8.278132e+00 3.174963e-01
        RCL       3888 1019215872        512 1.095690e+00 8.060016e+00 1.953563e+00 8.621895e+00 3.143424e-01
        RCL       4800 1258291200        512 1.063185e+00 8.128275e+00 1.973628e+00 8.692388e+00 3.120221e-01
        RCL       5808 1522532352        512 1.121522e+00 8.402984e+00 1.962242e+00 9.044050e+00 3.099075e-01
        RCL       6912 1811939328        512 1.140911e+00 8.325068e+00 1.990557e+00 1.053858e+01 3.075737e-01
        RCL       8112 2126512128        512 1.184541e+00 8.619074e+00 2.011814e+00 1.078362e+01 3.070486e-01
        RCL       9408 2466250752        512 1.200086e+00 8.344090e+00 2.017825e+00 1.129939e+01 3.055449e-01
        RCL      10800 2831155200        512 1.156783e+00 8.456108e+00 2.031895e+00 1.236177e+01 3.039235e-01
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48   12582912        512 9.952687e-01 6.948347e+00 9.772259e-01 6.125680e+00 3.799336e-01
        OCS        192   50331648        512 1.018952e+00 7.382765e+00 1.016482e+00 6.643803e+00 3.999620e-01
        OCS        432  113246208        512 1.034382e+00 7.377003e+00 1.047936e+00 6.913263e+00 4.082614e-01
        OCS        768  201326592        512 1.037412e+00 7.715603e+00 1.051631e+00 7.447302e+00 3.835455e-01
        OCS       1200  314572800        512 1.039816e+00 7.778364e+00 1.088778e+00 7.654733e+00 3.580736e-01
        OCS       1728  452984832        512 1.083101e+00 7.774368e+00 1.071041e+00 7.938924e+00 3.468383e-01
        OCS       2352  616562688        512 1.101426e+00 7.883886e+00 1.088649e+00 8.353877e+00 3.371414e-01
        OCS       3072  805306368        512 1.086602e+00 8.075982e+00 1.162118e+00 8.241184e+00 3.327553e-01
        OCS       3888 1019215872        512 1.126106e+00 7.935302e+00 1.080882e+00 8.392975e+00 3.287252e-01
        OCS       4800 1258291200        512 1.110074e+00 8.036352e+00 1.136892e+00 8.699781e+00 3.260625e-01
        OCS       5808 1522532352        512 1.139720e+00 8.021307e+00 1.148346e+00 8.964927e+00 3.233485e-01
        OCS       6912 1811939328        512 1.166606e+00 8.217454e+00 1.267065e+00 1.009211e+01 3.221057e-01
        OCS       8112 2126512128        512 1.188741e+00 8.224690e+00 1.331786e+00 1.074318e+01 3.212426e-01
        OCS       9408 2466250752        512 1.202524e+00 8.541153e+00 1.366386e+00 1.115198e+01 3.197978e-01
        OCS      10800 2831155200        512 1.171293e+00 8.613140e+00 1.371953e+00 1.243710e+01 3.184159e-01
